ref_no,name,pointx_class,feature_easting,feature_northing,description,x_normed,y_normed,longitude,latitude
54731596,Blick Rothenberg,2090135,529204.2,181195.0,"A place of accountants and auditors, a type of legal and financial",0.4384449987098994,0.5557544380374075,-0.1401426229826411,51.51429688660062
109085933,Afonwen Laundry Ltd,2070105,508474.8,179812.6,"A place of linen hire and washroom services, a type of contract services",0.0830136750666552,0.5281122905597535,-0.4381715406539284,51.50767277203916
125706275,O'Dwyer Search,2050078,529119.3,176023.7,"A place of employment agencies, a type of employment and career agencies",0.435589575986927,0.4341063316377972,-0.1444935019985247,51.466084064072405
105213069,House Removals,2150228,532764.8,182835.9,"A place of removals and shipping agents, a type of transport, storage and delivery",0.4989593188268685,0.5906016698575977,-0.0888942538156881,51.52730385516433
68803096,True Vine Ministries,6340459,519745.9,183202.6,"A place of places of worship, a type of infrastructure and facilities",0.2762879504601359,0.5990302590884888,-0.2752821034697756,51.53353713146143
48802930,C F & M C Stear,9470669,519402.5,167779.3,"A place that sells grocers, farm shops and pick your own, a type of retail",0.2717657177259822,0.2568499280624443,-0.2841698394836346,51.397858968579015
48074103,The Hare & Hounds,1020034,531378.0,165306.6,"A place of pubs, bars and inns, a type of eating and drinking",0.4731057022447751,0.19708624576588,-0.1169813490723245,51.37157201389553
141255560,Data4africa,2080127,514554.7,171165.2,"A place of marketing services, a type of it, advertising, marketing and media services",0.1840319944955708,0.3293992364423199,-0.3564220049033551,51.42768909927002
54583403,Rullion,2050078,532451.0,181266.7,"A place of employment agencies, a type of employment and career agencies",0.4951922249935495,0.5543723306635249,-0.0926501556643644,51.51298567575746
149621255,Coral Bookmakers,4220279,512186.8,181882.0,"A place of bookmakers, a type of gambling",0.1449041025199965,0.5738804363834101,-0.3857071554468237,51.52512651786116
165866701,Right Support Management Limited,5310380,533247.9,178854.3,"A place of special schools and colleges, a type of primary, secondary and tertiary education",0.5089360970155672,0.4998130756420568,-0.0820517632747385,51.49115821362574
129546985,Cash Machine (Travelex UK Ltd),2090141,505026.1,176083.0,"A place of cash machines, a type of legal and financial",0.0251225595596456,0.4397888321192688,-0.4878069260506474,51.47326957016388
125649373,Dr Shape Diet,5280337,521557.0,189838.9,"A place of dieticians and nutritionists, a type of health practitioners and establishments",0.3051242796938165,0.7497524668350877,-0.2488278502045538,51.59296549575855
162366996,H Rose Nails - Hair & Beauty,2100156,523034.8,188635.8,"A place of hair and beauty services, a type of personal, consumer and other services",0.3308850090307044,0.7255995740390392,-0.2275919698454144,51.58306110288616
75389590,Superdrug Pharmacy,9480677,511012.8,188011.7,"A place that sells cosmetics, toiletries, perfumes and hairdressing supplies, a type of retail",0.1266741205814055,0.708667625834079,-0.3991015196432003,51.57880474981575
127726944,S R Francis,2030056,542736.3,167632.3,"A place of plumbing and heating services, a type of construction services",0.6729852928528425,0.2480656161140125,0.0507503241650395,51.38899075986512
166077029,Life Aims,9480677,526169.2,191919.0,"A place that sells cosmetics, toiletries, perfumes and hairdressing supplies, a type of retail",0.388144835297154,0.7980559866773913,-0.1784241567978854,51.61106461361158
153509369,Wi-Fi Hotspot (BT Openzone),6340802,534892.0,178925.6,"A place of wifi hotspots, a type of infrastructure and facilities",0.535512169949256,0.5046391227016801,-0.0597296708650556,51.49270633011619
105223025,Play 2 Win,4220277,529804.2,180948.5,"A place of amusement parks and arcades, a type of gambling",0.4481912789197553,0.5492132183842936,-0.1320879334098207,51.51157269943408
91432232,Robin Cockle - Clinical Hypnotherapy,5280372,539598.2,174876.2,"A place of mental health centres and practitioners, a type of health practitioners and establishments",0.6189386772168229,0.4152552933579544,0.0085286178339721,51.45607982312772
157758520,Harris Ali Solicitors,2090154,517729.5,183711.1,"A place of solicitors, advocates and notaries public, a type of legal and financial",0.2445514750150511,0.6139162352301435,-0.3016495125206658,51.53982958350803
103280892,The Ascott Ltd,2110192,532197.8,182251.9,"A place of property letting, a type of property and development services",0.4887933258794186,0.5766446511311756,-0.0976396819579539,51.52190660135209
160763739,The Co-operative,9470819,539353.0,178333.6,"A place that sells supermarket chains, a type of retail",0.6140706975144061,0.4881897792026826,0.0057265462692979,51.485075758462166
103817759,Brixton Beds & Carpets,7370465,531137.4,176448.4,"A place that produces beds and bedding, a type of manufacturing and production",0.4729852928528425,0.4494228002401694,-0.1129636495887104,51.47165992494594
20134534,Chapel,6340459,533525.3,190543.0,"A place of places of worship, a type of infrastructure and facilities",0.5140276941601445,0.7691200960677912,-0.0732847492342224,51.59790067857684
37184444,Post Office (The Broadway),9480763,525256.3,170612.5,"A place of post offices, a type of retail",0.3688139674894641,0.3140895650893271,-0.2022198888500622,51.41934846385084
68642113,Letter Box,6340457,541179.0,169568.1,"A place of letter boxes, a type of infrastructure and facilities",0.6456695622258536,0.2914547246547563,0.0287038882519051,51.40659518277965
166816075,Zeit & Zaatar,1020018,516760.4,180685.8,"A place of fast food and takeaway outlets, a type of eating and drinking",0.22502795218027,0.5402793669495077,-0.3190844502567018,51.510855072660064
149620512,Coral Bookmakers,4220279,550041.1,185882.9,"A place of bookmakers, a type of gambling",0.7960436914079299,0.6619954458429156,0.1612364821865139,51.55129776309553
127712623,Polar Research & Policy Initiative,2040064,525451.2,180270.9,"A place of business related consultants, a type of consultancies",0.3726326653478971,0.5308991628054514,-0.1956407745396427,51.505298762231824
22055026,Bus Stop (Spencer Hill),10590732,524486.6,170586.8,"A place of bus stops, a type of bus transport",0.3567214242710931,0.3139083051058671,-0.2123276489898221,51.41943111392632
158332889,Dulwich Day Nursery & Preschool,5320397,533106.0,175586.4,"A place of nursery schools and pre and after school care, a type of recreational and vocational education",0.5067515266190763,0.426130892365556,-0.0851041885782271,51.46196347380279
160763585,Travel Dubai,9480694,511014.6,187937.3,"A place that sells travel agencies, a type of retail",0.125843295777071,0.7080105583940364,-0.3998074405853138,51.5785535980736
162365537,Best Foods,9470699,522521.3,168384.4,"A place of convenience stores and independent supermarkets, a type of retail",0.3257452481293543,0.2640391521564273,-0.2389731995841082,51.400041811670775
145413025,The Drinks Business,7420599,532125.5,180214.6,"A place that produces published goods, a type of manufacturing and production",0.4923884062956911,0.5344110749849894,-0.0953281294206055,51.5051065788707
161882026,Bowling Green,4240290,506068.4,180834.2,"A place of bowling facilities, a type of sports complex",0.0406708523264818,0.5458123279446253,-0.4733920221399278,51.51516134406649
145409577,Kings of Vapes,9470699,513161.1,179343.8,"A place of convenience stores and independent supermarkets, a type of retail",0.1618474240990797,0.5199102763081873,-0.3722782223334214,51.50352109196442
22045516,Bus Stop (Hatch Lane),10590732,539149.9,193182.8,"A place of bus stops, a type of bus transport",0.6075169863249333,0.8252427184466019,0.0061156002599523,51.6188441860119
165429404,Damas Gate Food Centre,2090811,516537.8,180466.7,"A place of paypoint locations, a type of legal and financial",0.2214156704222929,0.538715999592165,-0.3221319994745615,51.5102782169436
162698797,Richardson Pacific Ltd,9470768,532742.8,181266.8,"A place that sells cash and carry, a type of retail",0.501711533499613,0.5541230981862673,-0.087195770296329,51.51279791014504
159900194,Gas Governor,6340437,550331.9,185249.1,"A place of gas features, a type of infrastructure and facilities",0.8041575642900138,0.6515843255429303,0.1678385874028652,51.54704367790081
80824231,Subway,1020018,528796.2,181224.9,"A place of fast food and takeaway outlets, a type of eating and drinking",0.4332329921733895,0.5562982179877876,-0.1444980580598848,51.51458168898602
22120610,Bus Stop (Holwood Farm),10590732,542268.1,162958.0,"A place of bus stops, a type of bus transport",0.6663111722714372,0.1426855932299396,0.0433186106695422,51.34729529187999
48890751,Greenhouse Water Gardens,9480691,550239.1,191455.0,"A place that sells pets, supplies and services, a type of retail",0.8020951234196275,0.7868020074543167,0.1686611873551089,51.60069772331784
47953158,Metrogate House,1010009,526181.2,179094.9,"A place of youth accommodation, a type of accommodation",0.3909606949342049,0.5145359177985972,-0.1805553715896906,51.49857121914632
