classname,class_idx
Non Alcoholic Drinks,377
Nursery Schools and Pre and After School Care,378
Nursing Agencies,379
Nursing and Residential Care Homes,380
Oast Houses,381
Office Services,382
Office and Shop Equipment,383
"Oil and Gas Extraction, Refinery and Product Manufacture",384
Optometrists and Opticians,385
Ore Mining,386
"Organic, Health, Gourmet and Kosher Foods",387
Outdoor Pursuit Organisers and Equipment,388
Ovens and Furnaces,389
Packaging,390
Packers,391
Painting and Decorating Services,392
"Paints, Varnishes and Lacquers",393
Paragliding and Hang Gliding,394
Parenting and Childcare Services,395
Parking,396
Party Goods and Novelties,397
Party Organisers,398
Pawnbrokers,399
Paypoint Locations,400
Pension and Fund Management,401
Personalisation,402
Pest and Vermin Control,403
Pesticides,404
Petrol and Fuel Stations,405
"Pets, Supplies and Services",406
Photographic Services,407
Photographic and Optical Equipment,408
Physical Therapy,409
Picnic Areas,410
Pipelines,411
Places Of Worship,412
Plasterers,413
"Plate Makers, Print Finishers and Type Setters",414
Playgrounds,415
Plumbing and Heating Services,416
Pneumatic Engineers,417
Police Stations,418
Political Parties and Related Organisations,419
Pool and Court Construction,420
Post Offices,421
Potteries,422
"Poultry Farming, Equipment and Supplies",423
Precision Engineers,424
Pregnancy Related Services and Help Centres,425
Press and Journalism Services,426
Printing On Garments,427
Printing Related Machinery,428
Printing and Photocopying Services,429
Prisons,430
Probation Offices and Police Support Services,431
Property Development Services,432
Property Information Services,433
Property Letting,434
Property Sales,435
Public Toilets,436
Published Goods,437
"Pubs, Bars and Inns",438
Pumps and Compressors,439
Pupil Referral Units,440
Racecourses and Greyhound Tracks,441
Radar and Telecommunications Equipment,442
Rag Merchants,443
Railway Related Services,444
"Railway Stations, Junctions and Halts",445
"Railways (Heritage, Steam and Miniature)",446
Recording Studios and Record Companies,447
Recycling Centres,448
"Recycling, Reclamation and Disposal",449
Refrigeration and Freezing Appliances,450
Refuse Disposal Facilities,451
Registrars Offices,452
Religious Organisations,453
Removals and Shipping Agents,454
Renting and Leasing Of Personal and Household Goods,455
Research Services,456
Reservoirs,457
Restaurants,458
Restoration and Preservation Services,459
Revenue and Customs Offices,460
"Riding Schools, Livery Stables and Equestrian Centres",461
Rivers and Canal Organisations and Infrastructure,462
Road Construction Services,463
Road Maintenance Equipment,464
Roofing and Chimney Services,465
"Ropes, Nets and Cordage",466
"Rubber, Silicones and Plastics",467
Sailing Schools,468
"Sand, Gravel and Clay Extraction and Merchants",469
Saunas and Sunbeds,470
Scrap Metal Dealers and Breakers Yards,471
"Sculptors, Wood Workers and Stone Masons",472
"Seals, Tapes, Taps and Valves",473
Secondhand Goods,474
Secondhand Vehicles,475
Security Consultants,476
Self Catering,477
Service Industry Equipment Repairs,478
Sewage Services,479
"Shelving, Storage, Safes and Vaults",480
Shoe Repairs,481
Shooting Facilities,482
Shopping Centres and Retail Parks,483
Signalling Facilities,484
Signs,485
"Siteseeing, Tours, Viewing and Visitor Centres",486
Ski Infrastructure and Aerial Cableways,487
Slimming Clubs and Services,488
Snooker and Pool Halls,489
Social Clubs,490
Social Service Activities,491
"Solicitors, Advocates and Notaries Public",492
"Sound, Light and Vision Service and Equipment Hire",493
Spas,494
Special Purpose Machinery and Equipment,495
Special Schools and Colleges,496
Speech Therapists,497
Sports Clubs and Associations,498
"Sports Grounds, Stadia and Pitches",499
Sports Services,500
Sports and Fitness Coaching,501
Sports and Leisure Equipment Repair,502
Squash Courts,503
Stationery and Office Supplies,504
"Stationery, Stamps, Tags and Labels",505
"Stocks, Shares and Unit Trusts",506
Stone Quarrying and Preparation,507
Structural Engineers,508
Supermarket Chains,509
Surgeons and Cosmetic Surgeries,510
Surplus Goods,511
Swimming Pools,512
Tailoring and Clothing Alteration,513
"Tarns, Pools and Meres",514
Tattooing and Piercing Services,515
Taxi Services,516
Tea and Coffee Merchants,517
Telecommunications Companies,518
Telecommunications Consultants,519
Telecommunications Features,520
"Telephone, Telex and Fax Services",521
Telephones and Telephone Cards,522
Television and Radio Services,523
Tennis Facilities,524
"Tents, Marquees and Camping Equipment",525
Testing and Analysis Services,526
"Textiles, Fabrics, Silk and Machinery",527
Theatres and Concert Halls,528
Theme and Adventure Parks,529
Timeshare,530
Tobacco Products,531
Tool Repairs,532
Tools Including Machine Shops,533
Traffic Management and Transport Related Consultants,534
Training Providers and Centres,535
"Tram, Metro and Light Railway Stations and Stops",536
Travel Agencies,537
Tribunals,538
Trigonometric Points,539
Trophies and Engraving Services,540
Underground Network Stations,541
Unspecified Quarries Or Mines,542
Unspecified Works Or Factories,543
Unspecified and Other Attractions,544
Unspecified and Other Schools,545
Utility Companies and Brokers,546
Vehicle Auctions,547
Vehicle Bodybuilders,548
Vehicle Breakdown and Recovery Services,549
Vehicle Cleaning Services,550
Vehicle Components,551
Vehicle Hire and Rental,552
Vehicle Parts and Accessories,553
"Vehicle Repair, Testing and Servicing",554
Vehicles,555
Velodromes,556
Veterinarians and Animal Hospitals,557
Veterinary Pharmacies,558
Viaducts,559
Walk-In Centre,560
"Waste Collection, Processing and Disposal Equipment",561
Waste Paper Merchants,562
"Waste Storage, Processing and Disposal",563
Water Pumping Stations,564
Watersports,565
Weather Services,566
Wedding Services,567
Weighbridges,568
"Weirs, Sluices and Dams",569
Wifi Hotspots,570
Window Cleaners,571
"Wood Products Including Charcoal, Paper, Card and Board",572
Workwear,573
X-Ray Services,574
Youth Accommodation,575
Youth Organisations,576
Zoos and Animal Collections,577
